item name 2023-09-18 09:00:43,2023-09-18 17:31:36,m/s,℃,6.0,5107,0.08:30:54.6
conditions

Hub No ,HUB01-01CH,HUB01-01CH,HUB01-01CH,HUB01-02CH,HUB01-02CH,HUB01-02CH,HUB01-03CH,HUB01-03CH,HUB01-03CH,HUB01-04CH,HUB01-04CH,HUB01-04CH,HUB01-05CH,HUB01-05CH,HUB01-05CH,HUB01-06CH,HUB01-06CH,HUB01-06CH,HUB01-07CH,HUB01-07CH,HUB01-07CH,HUB01-08CH,HUB01-08CH,HUB01-08CH,HUB01-09CH,HUB01-09CH,HUB01-09CH,HUB01-10CH,HUB01-10CH,HUB01-10CH,HUB01-11CH,HUB01-11CH,HUB01-11CH,HUB01-12CH,HUB01-12CH,HUB01-12CH
Data 2263-0.03:46:18.0 ,0.39,26.00,71.00,0.58,26.10,71.50,0.31,25.90,71.50,0.51,25.90,73.20,0.35,25.70,71.50,0.36,26.00,72.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2264-0.03:46:24.0 ,0.29,26.00,71.00,0.42,26.00,71.60,0.30,25.90,71.50,0.25,26.00,73.30,0.46,25.80,71.60,0.39,26.00,72.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2265-0.03:46:30.0 ,0.38,25.90,71.00,0.29,26.00,71.60,0.36,25.90,71.50,0.36,26.00,73.20,0.49,25.80,71.60,0.32,26.00,72.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2266-0.03:46:36.0 ,0.38,25.90,71.00,0.50,26.10,71.60,0.43,26.00,71.50,0.17,26.00,73.10,0.47,25.80,71.50,0.36,26.00,72.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2267-0.03:46:42.0 ,0.29,26.00,71.00,0.34,26.00,71.60,0.47,26.00,71.50,0.26,26.10,73.10,0.52,25.80,71.50,0.37,26.00,72.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2268-0.03:46:48.0 ,0.19,26.00,71.00,0.42,26.00,71.60,0.44,26.00,71.50,0.21,26.10,73.20,0.55,25.80,71.60,0.46,26.00,72.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2269-0.03:46:54.0 ,0.49,26.00,71.00,0.35,26.00,71.60,0.39,26.00,71.50,0.34,26.10,73.20,0.55,25.80,71.60,0.46,26.00,72.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2270-0.03:47:00.0 ,0.42,25.90,71.00,0.32,25.90,71.70,0.26,26.00,71.50,0.30,26.10,73.20,0.57,25.80,71.60,0.44,26.00,72.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2271-0.03:47:06.0 ,0.24,26.00,71.00,0.56,25.90,71.70,0.29,26.00,71.50,0.39,26.20,73.10,0.51,25.90,71.60,0.32,25.90,72.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2272-0.03:47:12.0 ,0.55,26.00,71.00,0.31,25.90,71.70,0.34,26.00,71.60,0.30,26.00,73.20,0.45,25.80,71.60,0.45,26.00,72.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2273-0.03:47:18.0 ,0.32,26.00,71.00,0.46,25.90,71.70,0.35,25.90,71.60,0.32,26.00,73.20,0.38,25.80,71.60,0.34,26.00,72.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2274-0.03:47:24.0 ,0.44,25.90,71.00,0.28,26.00,71.70,0.46,25.90,71.60,0.43,26.10,73.20,0.54,25.80,71.60,0.59,26.00,72.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2275-0.03:47:30.0 ,0.30,25.90,71.00,0.39,26.00,71.70,0.37,25.90,71.60,0.16,26.00,73.20,0.49,25.80,71.60,0.45,26.00,72.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2276-0.03:47:36.0 ,0.30,25.90,71.00,0.31,26.00,71.70,0.17,25.90,71.60,0.19,26.00,73.20,0.48,25.80,71.60,0.54,26.00,72.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2277-0.03:47:42.0 ,0.22,25.90,71.00,0.40,26.00,71.70,0.13,26.00,71.60,0.33,26.00,73.20,0.44,25.80,71.60,0.27,26.00,72.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2278-0.03:47:48.0 ,0.49,26.00,71.10,0.35,25.90,71.80,0.20,26.00,71.50,0.38,25.90,73.30,0.45,25.80,71.60,0.45,26.00,72.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2279-0.03:47:54.0 ,0.51,26.00,71.10,0.47,25.90,71.70,0.33,26.00,71.50,0.35,25.90,73.40,0.58,25.70,71.60,0.46,26.10,72.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2280-0.03:48:00.0 ,0.44,26.00,71.00,0.44,26.00,71.80,0.39,26.00,71.60,0.33,26.00,73.30,0.36,25.70,71.70,0.34,26.00,72.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2281-0.03:48:06.0 ,0.50,26.00,71.00,0.29,25.90,71.70,0.43,26.00,71.60,0.28,26.10,73.30,0.39,25.70,71.70,0.29,26.00,72.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2282-0.03:48:12.0 ,0.39,26.00,71.00,0.25,25.90,71.80,0.32,26.00,71.60,0.15,25.90,73.30,0.35,25.70,71.70,0.49,26.00,72.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2283-0.03:48:18.0 ,0.58,26.00,71.10,0.29,25.90,71.80,0.36,26.00,71.60,0.26,26.00,73.30,0.49,25.70,71.70,0.39,26.00,72.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2284-0.03:48:24.0 ,0.24,25.90,71.10,0.24,25.90,71.80,0.30,26.00,71.60,0.29,26.00,73.30,0.40,25.70,71.70,0.47,26.00,72.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2285-0.03:48:30.0 ,0.38,26.00,71.10,0.26,25.90,71.80,0.22,26.00,71.50,0.44,26.00,73.30,0.49,25.70,71.70,0.43,26.00,72.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2286-0.03:48:36.0 ,0.40,25.90,71.10,0.18,25.90,71.80,0.35,26.00,71.50,0.31,26.00,73.30,0.44,25.80,71.70,0.41,26.00,72.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2287-0.03:48:42.0 ,0.35,25.90,71.10,0.37,25.90,71.80,0.41,26.00,71.60,0.13,26.00,73.30,0.52,25.80,71.80,0.41,26.00,72.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2288-0.03:48:48.0 ,0.54,26.00,71.10,0.27,25.90,71.80,0.39,26.00,71.60,0.26,26.00,73.30,0.40,25.70,71.80,0.31,25.90,72.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2289-0.03:48:54.0 ,0.47,25.90,71.10,0.26,25.90,71.80,0.35,26.00,71.60,0.31,25.90,73.40,0.51,25.80,71.80,0.35,25.80,72.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2290-0.03:49:00.0 ,0.40,26.00,71.10,0.51,26.00,71.80,0.17,26.00,71.60,0.32,26.00,73.30,0.51,25.80,71.80,0.18,25.90,72.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2291-0.03:49:06.0 ,0.45,25.90,71.10,0.34,26.00,71.80,0.20,26.00,71.50,0.39,26.00,73.30,0.41,25.90,71.80,0.19,25.90,72.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2292-0.03:49:12.0 ,0.26,26.00,71.10,0.34,25.90,71.80,0.28,26.00,71.50,0.23,26.00,73.30,0.60,25.90,71.70,0.34,26.00,72.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2293-0.03:49:18.0 ,0.52,26.00,71.10,0.36,26.00,71.80,0.47,26.00,71.50,0.42,26.10,73.30,0.37,25.80,71.70,0.18,26.00,72.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2294-0.03:49:24.0 ,0.46,26.00,71.10,0.39,25.90,71.80,0.42,25.90,71.60,0.25,26.10,73.30,0.50,25.90,71.70,0.48,26.10,72.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2295-0.03:49:30.0 ,0.36,26.00,71.10,0.34,26.00,71.80,0.37,26.00,71.60,0.31,26.00,73.30,0.52,25.90,71.70,0.31,26.00,72.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2296-0.03:49:36.0 ,0.14,26.00,71.10,0.39,25.90,71.80,0.45,26.00,71.60,0.26,26.00,73.30,0.52,25.80,71.70,0.47,26.00,72.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2297-0.03:49:42.0 ,0.23,26.00,71.10,0.29,26.00,71.90,0.36,26.00,71.60,0.35,26.00,73.30,0.47,25.80,71.70,0.34,26.00,72.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2298-0.03:49:48.0 ,0.18,25.90,71.10,0.25,26.00,71.90,0.28,26.00,71.60,0.25,26.00,73.30,0.59,25.80,71.70,0.37,26.00,72.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2299-0.03:49:54.0 ,0.34,26.00,71.10,0.38,25.90,71.80,0.45,26.10,71.50,0.24,26.10,73.30,0.42,25.70,71.70,0.45,26.00,72.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2300-0.03:50:00.0 ,0.46,26.00,71.10,0.31,25.90,71.80,0.47,26.00,71.50,0.31,26.00,73.30,0.51,25.80,71.70,0.38,26.00,72.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2301-0.03:50:06.0 ,0.40,26.00,71.10,0.42,26.00,71.80,0.45,26.00,71.60,0.23,26.00,73.30,0.48,25.80,71.70,0.50,26.00,72.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2302-0.03:50:12.0 ,0.49,25.90,71.10,0.49,26.00,71.80,0.33,26.00,71.60,0.26,26.00,73.30,0.51,25.80,71.70,0.36,26.00,72.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2303-0.03:50:18.0 ,0.49,26.00,71.10,0.38,25.90,71.90,0.20,26.00,71.60,0.28,25.90,73.30,0.43,25.80,71.70,0.49,26.00,72.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2304-0.03:50:24.0 ,0.31,26.00,71.10,0.32,25.80,71.90,0.54,26.00,71.60,0.21,26.00,73.40,0.38,25.70,71.70,0.32,25.90,72.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2305-0.03:50:30.0 ,0.55,26.00,71.10,0.34,25.80,72.00,0.27,25.90,71.60,0.35,26.00,73.30,0.37,25.70,71.80,0.52,26.00,72.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2306-0.03:50:36.0 ,0.29,26.00,71.10,0.17,25.80,72.00,0.63,26.00,71.60,0.25,26.00,73.30,0.50,25.80,71.80,0.18,25.90,72.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2307-0.03:50:42.0 ,0.16,26.00,71.10,0.25,25.90,72.00,0.39,26.00,71.60,0.23,26.00,73.40,0.42,25.70,71.80,0.45,26.10,72.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2308-0.03:50:48.0 ,0.39,26.00,71.10,0.37,26.00,72.00,0.24,25.90,71.70,0.20,26.00,73.40,0.41,25.70,71.80,0.57,26.10,72.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2309-0.03:50:54.0 ,0.68,26.00,71.10,0.17,25.90,71.90,0.34,26.00,71.60,0.29,25.90,73.40,0.30,25.70,71.80,0.50,26.00,72.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2310-0.03:51:00.0 ,0.41,26.00,71.10,0.34,25.90,71.90,0.56,26.00,71.60,0.28,25.90,73.40,0.47,25.70,71.80,0.41,26.00,72.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2311-0.03:51:06.0 ,0.39,26.00,71.10,0.42,25.90,71.90,0.54,25.90,71.60,0.12,25.90,73.40,0.30,25.70,71.80,0.52,26.00,72.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2312-0.03:51:12.0 ,0.50,26.00,71.10,0.35,25.90,71.90,0.26,25.90,71.70,0.21,26.00,73.30,0.29,25.70,71.80,0.54,26.00,72.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2313-0.03:51:18.0 ,0.39,25.90,71.10,0.34,26.00,71.90,0.31,25.90,71.60,0.40,26.00,73.30,0.43,25.80,71.80,0.41,26.00,72.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2314-0.03:51:24.0 ,0.33,26.00,71.10,0.42,25.90,71.90,0.24,25.90,71.60,0.41,26.00,73.30,0.42,25.80,71.80,0.40,26.00,72.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2315-0.03:51:30.0 ,0.40,26.00,71.10,0.17,25.90,71.90,0.58,26.00,71.60,0.38,26.00,73.30,0.50,25.80,71.80,0.30,26.00,72.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2316-0.03:51:36.0 ,0.43,26.00,71.10,0.30,25.90,71.90,0.33,25.90,71.60,0.32,26.00,73.40,0.59,25.80,71.80,0.39,26.00,72.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2317-0.03:51:42.0 ,0.52,26.00,71.10,0.19,25.90,71.90,0.41,26.00,71.60,0.18,26.00,73.40,0.33,25.70,71.80,0.54,26.00,72.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2318-0.03:51:48.0 ,0.31,26.00,71.10,0.50,26.00,71.90,0.37,25.90,71.60,0.36,26.00,73.40,0.38,25.70,71.80,0.35,26.00,72.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2319-0.03:51:54.0 ,0.14,25.90,71.10,0.44,26.00,71.90,0.31,25.90,71.70,0.34,26.00,73.40,0.33,25.70,71.80,0.49,26.00,72.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2320-0.03:52:00.0 ,0.19,26.00,71.10,0.38,26.00,71.90,0.29,25.90,71.70,0.21,25.90,73.40,0.34,25.70,71.80,0.41,26.00,72.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2321-0.03:52:06.0 ,0.45,26.00,71.10,0.26,26.00,71.80,0.41,26.00,71.60,0.50,26.00,73.30,0.42,25.70,71.80,0.31,25.90,72.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2322-0.03:52:12.0 ,0.39,26.00,71.10,0.21,26.00,71.80,0.16,26.00,71.60,0.33,26.00,73.30,0.51,25.80,71.80,0.38,25.90,72.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2323-0.03:52:18.0 ,0.46,26.00,71.10,0.36,26.00,71.80,0.38,26.00,71.60,0.25,26.00,73.30,0.45,25.90,71.80,0.31,26.00,72.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2324-0.03:52:24.0 ,0.38,26.10,71.10,0.26,25.90,71.90,0.21,26.00,71.60,0.21,26.00,73.30,0.59,25.80,71.80,0.50,26.00,72.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2325-0.03:52:30.0 ,0.58,26.10,71.10,0.36,25.90,71.90,0.33,26.00,71.60,0.21,25.90,73.30,0.44,25.70,71.80,0.34,26.00,72.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2326-0.03:52:36.0 ,0.45,26.00,71.10,0.21,25.90,71.80,0.41,26.00,71.50,0.32,26.00,73.30,0.44,25.70,71.80,0.40,26.00,72.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2327-0.03:52:42.0 ,0.28,26.00,71.10,0.38,25.90,71.80,0.37,25.90,71.60,0.37,26.10,73.30,0.51,25.70,71.80,0.42,26.00,72.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2328-0.03:52:48.0 ,0.44,26.00,71.10,0.25,25.90,71.80,0.39,26.00,71.60,0.24,26.00,73.30,0.37,25.70,71.80,0.42,26.00,72.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2329-0.03:52:54.0 ,0.30,26.00,71.10,0.20,26.00,71.90,0.27,26.00,71.60,0.19,26.00,73.30,0.43,25.70,71.80,0.44,26.10,72.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2330-0.03:53:00.0 ,0.33,26.00,71.00,0.29,26.00,71.80,0.33,26.00,71.50,0.45,26.00,73.20,0.41,25.70,71.70,0.49,26.00,72.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2331-0.03:53:06.0 ,0.43,25.90,71.00,0.34,26.00,71.80,0.26,26.00,71.50,0.48,26.00,73.30,0.48,25.80,71.70,0.53,26.00,72.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2332-0.03:53:12.0 ,0.41,25.90,71.00,0.47,25.90,71.80,0.35,25.90,71.60,0.24,26.10,73.30,0.48,25.80,71.70,0.40,26.00,72.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2333-0.03:53:18.0 ,0.40,25.90,71.10,0.38,26.00,71.80,0.39,25.90,71.60,0.34,26.00,73.30,0.42,25.80,71.70,0.44,26.00,72.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2334-0.03:53:24.0 ,0.35,25.90,71.10,0.49,26.00,71.80,0.17,25.90,71.60,0.35,26.00,73.20,0.40,25.70,71.70,0.43,26.00,72.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2335-0.03:53:30.0 ,0.29,25.90,71.10,0.34,25.90,71.80,0.40,25.90,71.50,0.21,26.00,73.20,0.31,25.70,71.70,0.26,26.00,72.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2336-0.03:53:36.0 ,0.39,26.00,71.00,0.23,25.90,71.80,0.32,25.90,71.50,0.22,26.10,73.20,0.49,25.70,71.70,0.21,25.90,72.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2337-0.03:53:42.0 ,0.23,26.00,71.00,0.40,26.00,71.80,0.26,25.90,71.60,0.24,26.10,73.30,0.33,25.70,71.70,0.33,26.00,72.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2338-0.03:53:48.0 ,0.27,26.00,71.00,0.49,26.00,71.80,0.54,26.00,71.60,0.37,26.20,73.30,0.39,25.80,71.80,0.42,26.00,72.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2339-0.03:53:54.0 ,0.38,26.00,71.10,0.35,26.00,71.80,0.54,25.90,71.70,0.19,26.20,73.20,0.25,25.80,71.70,0.31,25.90,72.50,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2340-0.03:54:00.0 ,0.40,26.00,71.10,0.32,25.90,71.90,0.51,25.90,71.80,0.26,26.10,73.20,0.47,25.90,71.70,0.12,26.00,72.50,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2341-0.03:54:06.0 ,0.40,26.00,71.10,0.51,25.80,71.90,0.48,26.00,71.80,0.30,26.20,73.30,0.33,25.80,71.80,0.30,26.00,72.50,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2342-0.03:54:12.0 ,0.46,26.00,71.10,0.30,25.90,72.00,0.34,26.00,72.00,0.44,26.10,73.40,0.47,25.90,72.00,0.33,26.00,72.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2343-0.03:54:18.0 ,0.33,25.90,71.20,0.44,25.90,72.20,0.39,26.10,72.20,0.25,26.10,73.40,0.44,25.90,72.20,0.15,26.00,73.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2344-0.03:54:24.0 ,0.46,26.00,71.20,0.37,25.90,72.30,0.40,26.20,72.30,0.37,26.10,73.50,0.27,26.00,72.40,0.20,26.00,73.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2345-0.03:54:30.0 ,0.28,26.00,71.30,0.21,25.90,72.40,0.40,26.10,72.30,0.15,26.10,73.70,0.37,26.10,72.70,0.46,26.10,73.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2346-0.03:54:36.0 ,0.40,26.00,71.30,0.29,25.90,72.50,0.47,26.20,72.50,0.29,26.20,73.90,0.37,26.00,72.80,0.22,26.20,73.50,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2347-0.03:54:42.0 ,0.33,26.00,71.40,0.32,25.90,72.60,0.27,26.20,72.60,0.20,26.20,74.00,0.57,26.00,72.80,0.14,26.20,73.50,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2348-0.03:54:48.0 ,0.39,26.00,71.40,0.38,26.00,72.60,0.52,26.20,72.60,0.43,26.20,74.00,0.30,25.80,72.70,0.19,26.10,73.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2349-0.03:54:54.0 ,0.37,26.00,71.40,0.31,26.10,72.50,0.58,26.10,72.60,0.33,26.20,73.70,0.43,25.80,72.60,0.37,26.20,73.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2350-0.03:55:00.0 ,0.34,26.00,71.40,0.28,26.00,72.50,0.56,26.10,72.70,0.22,26.20,73.70,0.52,25.80,72.50,0.45,26.20,73.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2351-0.03:55:06.0 ,0.46,26.00,71.50,0.30,25.90,72.60,0.46,26.10,72.60,0.36,26.10,73.80,0.51,25.90,72.50,0.58,26.20,73.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2352-0.03:55:12.0 ,0.50,26.00,71.50,0.35,26.00,72.60,0.35,26.10,72.50,0.33,26.10,73.90,0.43,25.90,72.50,0.31,26.20,73.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2353-0.03:55:18.0 ,0.57,26.10,71.50,0.12,25.90,72.70,0.38,26.20,72.40,0.34,26.20,73.90,0.44,25.90,72.40,0.36,26.20,73.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2354-0.03:55:24.0 ,0.21,26.00,71.50,0.36,26.10,72.70,0.49,26.20,72.30,0.42,26.20,73.90,0.43,25.90,72.40,0.36,26.20,73.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2355-0.03:55:30.0 ,0.46,26.00,71.50,0.23,26.00,72.60,0.45,26.20,72.30,0.37,26.20,73.90,0.34,25.90,72.30,0.42,26.20,72.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2356-0.03:55:36.0 ,0.37,26.00,71.50,0.16,25.90,72.40,0.51,26.20,72.30,0.31,26.10,73.60,0.40,25.90,72.30,0.46,26.10,72.80,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2357-0.03:55:42.0 ,0.53,26.10,71.50,0.33,26.00,72.50,0.30,26.20,72.20,0.26,26.10,73.60,0.54,25.90,72.20,0.49,26.10,72.80,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2358-0.03:55:48.0 ,0.56,26.10,71.50,0.27,26.00,72.60,0.19,26.10,72.10,0.30,26.10,73.50,0.46,25.90,72.20,0.47,26.20,72.70,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2359-0.03:55:54.0 ,0.50,26.10,71.50,0.34,26.10,72.60,0.42,26.20,72.10,0.29,26.10,73.50,0.34,25.90,72.20,0.53,26.20,72.60,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2360-0.03:56:00.0 ,0.13,26.10,71.40,0.54,26.20,72.60,0.20,26.20,72.10,0.29,26.20,73.50,0.33,26.00,72.20,0.60,26.10,72.60,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2361-0.03:56:06.0 ,0.29,26.10,71.40,0.25,26.10,72.40,0.36,26.20,72.10,0.23,26.30,73.40,0.26,26.00,72.10,0.27,26.00,72.50,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2362-0.03:56:12.0 ,0.30,26.20,71.60,0.40,26.10,72.20,0.43,26.20,72.00,0.38,26.30,73.40,0.21,26.00,72.00,0.44,26.10,72.50,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2363-0.03:56:18.0 ,0.21,26.10,71.70,0.25,26.10,72.20,0.42,26.20,72.00,0.43,26.20,73.50,0.45,26.00,72.00,0.57,26.20,72.50,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2364-0.03:56:24.0 ,0.34,26.20,71.60,0.19,26.10,72.20,0.19,26.20,72.00,0.22,26.20,73.40,0.53,26.00,71.90,0.54,26.20,72.50,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2365-0.03:56:30.0 ,0.25,26.20,71.40,0.21,26.20,72.20,0.22,26.20,71.90,0.25,26.30,73.20,0.40,26.00,71.90,0.45,26.10,72.50,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2366-0.03:56:36.0 ,0.31,26.10,71.30,0.36,26.20,72.10,0.21,26.20,71.70,0.30,26.20,73.20,0.55,26.10,71.90,0.58,26.20,72.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2367-0.03:56:42.0 ,0.35,26.10,71.30,0.33,26.10,71.90,0.14,26.20,71.70,0.33,26.20,73.10,0.42,25.90,71.90,0.57,26.20,72.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2368-0.03:56:48.0 ,0.33,26.20,71.30,0.27,26.10,71.80,0.50,26.20,71.70,0.25,26.20,73.10,0.54,25.90,71.80,0.53,26.20,72.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2369-0.03:56:54.0 ,0.20,26.10,71.30,0.45,26.20,71.70,0.46,26.20,71.70,0.45,26.20,73.10,0.54,25.90,71.60,0.36,26.20,72.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 2370-0.03:57:00.0 ,0.40,26.20,71.20,0.49,26.20,71.60,0.25,26.20,71.70,0.36,26.20,72.90,0.68,25.90,71.60,0.41,26.20,72.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
